time,flux,flux_err
120.5389382196372,1.0024418830871582,0.00011151349463034421
120.55937271108996,1.0014197826385498,0.00011166085459990427
120.57980710248376,1.0021536350250244,0.00011287452798569575
120.60024169393,1.0022815465927124,0.00011309594265185297
120.62067618538276,1.0026065111160278,0.00011385346442693844
120.64111057677655,1.0027936697006226,0.00011426323180785403
120.66154506816383,1.0027546882629395,0.00011445771087892354
120.68197965955915,1.0028536319732666,0.00011431211896706372
120.70241405095294,1.002754807472229,0.00011460375390015543
120.72284854239842,1.0029072761535645,0.00011473175982246175
120.74328313379374,1.0025429725646973,0.00011499688844196498
120.76371752518753,1.0023291110992432,0.00011500741675263271
120.7841520165166,1.001904845237732,0.00011509500473039225
120.80458650791115,1.0012218952178955,0.00011508960596984252
120.8250209993057,1.0008364915847778,0.00011497741070343181
120.84545549063478,1.0004901885986328,0.0001151117539848201
120.86588998202933,0.9999158978462219,0.00011514808284118772
120.88632457336644,0.999515175819397,0.00011522399290697649
120.90675896475295,0.9992094039916992,0.0001152197364717722
120.9271934560893,0.9986979365348816,0.00011529411131050438
120.94762804741913,0.9980596303939819,0.00011517416714923456
120.96806243875471,0.997955322265625,0.00011508242459967732
120.98849693009106,0.9969770908355713,0.00011500335676828399
121.00893132136844,0.99749356508255,0.00011523584544193
121.02936591269827,0.9972671270370483,0.00011533190263435245
121.04980040403461,0.9924430251121521,0.00011510928015923128
121.07023489531275,0.9847576022148132,0.00011472843470983207
121.09066938664182,0.9827771782875061,0.00011468806042103097
121.11110387791996,0.9826708436012268,0.00011477051884867251
121.1315383691981,0.9829732179641724,0.0001148402807302773
121.1519727604682,0.9837866425514221,0.00011489688768051565
121.1724073517471,0.9884586334228516,0.00011512615310493857
121.19284184302523,0.9963018894195557,0.00011555648961802945
121.21327623423713,0.9983603358268738,0.00011573023220989853
121.23371082551603,0.9983065724372864,0.00011586415348574519
121.25414531679417,0.9988535046577454,0.00011596451076911762
121.27457970800606,0.9995434880256653,0.00011581809667404741
121.29501419922599,1.0000845193862915,0.00011610658839344978
121.31544879044668,1.0006160736083984,0.00011603072925936431
121.33588328165933,1.0007693767547607,0.00011613536480581388
121.3563176728785,1.001725196838379,0.00011620633449638262
121.3767522640992,1.0021309852600098,0.00011614314280450344
121.39718675525364,1.0028047561645508,0.0001162505941465497
